paper,setting,run_name,metric,published,source,ours,diff,status
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_dqffl_s10,std_pct,16.19,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_dqffl_s20,acc_normal_pct,55.92,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_dqffl_s20,acc_selfish_pct,63.8,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_dqffl_s20,std_pct,10.91,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_dqffl_s30,acc_normal_pct,54.37,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_dqffl_s30,acc_selfish_pct,57.73,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_dqffl_s30,std_pct,11.33,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_median_s0,acc_normal_pct,56.18,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_median_s0,std_pct,7.07,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_median_s10,acc_normal_pct,53.91,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_median_s10,acc_selfish_pct,52.4,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_median_s10,std_pct,6.91,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_median_s20,acc_normal_pct,52.0,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_median_s20,acc_selfish_pct,53.8,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_median_s20,std_pct,7.38,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_median_s30,acc_normal_pct,50.29,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_median_s30,acc_selfish_pct,52.13,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_median_s30,std_pct,6.96,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_fedcda_s0,acc_normal_pct,58.28,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_fedcda_s0,std_pct,10.1,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fedcda_s10,acc_normal_pct,41.69,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fedcda_s10,acc_selfish_pct,56.6,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fedcda_s10,std_pct,21.45,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fedcda_s20,acc_normal_pct,40.98,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fedcda_s20,acc_selfish_pct,51.4,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fedcda_s20,std_pct,18.49,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fedcda_s30,acc_normal_pct,37.49,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fedcda_s30,acc_selfish_pct,41.93,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fedcda_s30,std_pct,17.19,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_rflself_s0,acc_normal_pct,59.64,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_rflself_s0,std_pct,7.42,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_rflself_s10,acc_normal_pct,59.19,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_rflself_s10,acc_selfish_pct,54.4,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_rflself_s10,std_pct,7.24,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_rflself_s20,acc_normal_pct,59.12,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_rflself_s20,acc_selfish_pct,60.0,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_rflself_s20,std_pct,6.7,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_rflself_s30,acc_normal_pct,58.11,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_rflself_s30,acc_selfish_pct,59.67,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_rflself_s30,std_pct,6.86,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_qffl_rflself_s0,acc_normal_pct,59.22,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_qffl_rflself_s0,std_pct,7.05,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_qffl_rflself_s10,acc_normal_pct,59.71,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_qffl_rflself_s10,acc_selfish_pct,54.0,Table III p.329,,,NOT RUN
